seed,protocol,model,n,attack_f1,attack_precision,attack_recall,balanced_accuracy,mcc,roc_auc,average_precision,benign_false_alarm_rate,attack_miss_rate,brier,tn,fp,fn,tp,attempts,accepted,rejected,eci_mean,audit_completeness,gate_pass_rate,mean_alarm_delay_records,missed_regime_transitions,attempts_per_1000,elapsed_ms
37,shifted,no_replay,7972,0.5100316789862724,0.9802130898021308,0.34469223907225693,0.6641078432370157,0.347609106555891,0.8371163564428676,0.9277919525948377,0.016476552598225603,0.6553077609277431,0.38222739040866716,2328,39,3673,1932,15,1,14,0.687950937950938,1.0,0.06666666666666667,52.333333333333336,0,1.8815855494229805,359.2029000000002
37,shifted,no_attribution,7972,0.3748558246828143,0.976709241172051,0.231935771632471,0.60941951234771,0.2681056338547866,0.8180623628414336,0.9195261431483247,0.01309674693705112,0.768064228367529,0.45163352589697014,2336,31,4305,1300,15,0,15,0.6205266955266956,1.0,0.0,23.0,1,1.8815855494229805,200.10429999999997
37,shifted,Logistic regression,7972,0.4633152173913043,0.9715099715099715,0.30419268510258696,0.6415344498601232,0.3121404845138407,0.5614766976946997,0.8102525173772221,0.021123785382340516,0.695807314897413,0.43840135078275705,2317,50,3900,1705,0,0,0,,,,,0,0.0,
37,shifted,Random forest,7972,0.18467011642949546,0.9861830742659758,0.10187332738626227,0.5492467608625439,0.17339835328443187,0.92599537123404,0.9596870484715992,0.0033798056611744824,0.8981266726137377,0.46940310986842926,2359,8,5034,571,0,0,0,,,,,0,0.0,
53,shifted,static,7972,0.24949573312645462,0.9571428571428572,0.14344335414808207,0.5641171143363984,0.190829534550668,0.8012991599102588,0.9071963690062748,0.015209125475285171,0.8565566458519179,0.5081134001637206,2331,36,4801,804,0,0,0,,,,,0,0.0,30.16859999999997
53,shifted,ungoverned,7972,0.8967911428035279,0.945774787255096,0.8526315789473684,0.8684366175260712,0.6988565228276409,0.9356297771129721,0.9679233794154048,0.11575834389522602,0.14736842105263157,0.1037048507580423,2093,274,826,4779,13,13,0,,,,41.666666666666664,0,1.630707476166583,279.6245000000008
53,shifted,monitor_only,7972,0.8967911428035279,0.945774787255096,0.8526315789473684,0.8684366175260712,0.6988565228276409,0.9356297771129721,0.9679233794154048,0.11575834389522602,0.14736842105263157,0.1037048507580423,2093,274,826,4779,13,13,0,0.9254079254079252,1.0,0.7692307692307693,41.666666666666664,0,1.630707476166583,348.0199999999986
53,shifted,governed,7972,0.5953671759487432,0.9621664675428117,0.4310437109723461,0.6954542593729496,0.38450556303180067,0.8832063833403622,0.9456722868004491,0.04013519222644698,0.5689562890276538,0.30308195442929886,2272,95,3189,2416,17,4,13,0.7657881334351923,1.0,0.23529411764705882,41.666666666666664,0,2.132463622679378,389.01550000000134
53,shifted,no_replay,7972,0.5586435492095869,0.9785618579723091,0.3909009812667261,0.6853110736498396,0.37679079781894415,0.8752265295146956,0.943669928827336,0.020278833967046894,0.6090990187332739,0.32491253779248574,2319,48,3414,2191,17,4,13,0.7408963585434174,1.0,0.23529411764705882,41.666666666666664,0,2.132463622679378,370.1903000000002
53,shifted,no_attribution,7972,0.41646828175325584,0.9680989583333334,0.2652988403211418,0.622298765323224,0.2833579358124515,0.8509084358336283,0.9297422857128078,0.020701309674693705,0.7347011596788582,0.3803141260998862,2318,49,4118,1487,16,1,15,0.7083333333333333,1.0,0.0625,23.0,1,2.007024586051179,198.90560000000005
53,shifted,Logistic regression,7972,0.5515740977732275,0.9755545495699411,0.38447814451382695,0.6808322281504496,0.3692075716793804,0.5778961915755856,0.8227421448994685,0.022813688212927757,0.6155218554861731,0.4037556370414721,2313,54,3450,2155,0,0,0,,,,,0,0.0,
53,shifted,Random forest,7972,0.18795414177296949,0.9897959183673469,0.10383586083853702,0.550650503296328,0.17707864544227828,0.9491252190108791,0.9718781407364638,0.0025348542458808617,0.896164139161463,0.4718899482191351,2361,6,5023,582,0,0,0,,,,,0,0.0,
71,shifted,static,7972,0.35417577612592915,0.9673566878980892,0.2167707404103479,0.5997246181984144,0.25013194026292623,0.8525072859158057,0.9306318564040441,0.017321504013519222,0.7832292595896521,0.4426599255751102,2326,41,4390,1215,0,0,0,,,,,0,0.0,29.264400000000023
71,shifted,ungoverned,7972,0.9119647123690499,0.9403069926094372,0.8852809991079393,0.876100575599597,0.7265207110690992,0.9420419860202374,0.9723918064153166,0.13307984790874525,0.11471900089206066,0.09283115407400555,2052,315,643,4962,12,12,0,,,,41.666666666666664,0,1.5052684395383844,277.40879999999925
71,shifted,monitor_only,7972,0.9119647123690499,0.9403069926094372,0.8852809991079393,0.876100575599597,0.7265207110690992,0.9420419860202374,0.9723918064153166,0.13307984790874525,0.11471900089206066,0.09283115407400555,2052,315,643,4962,12,12,0,0.9166666666666666,1.0,0.75,41.666666666666664,0,1.5052684395383844,340.5526000000009
71,shifted,governed,7972,0.7953389830508475,0.9788787483702738,0.6697591436217663,0.8177693056511873,0.5811703286530429,0.9287011001327726,0.9657345128346628,0.034220532319391636,0.3302408563782337,0.17733581808512597,2286,81,1851,3754,17,4,13,0.9211229946524064,1.0,0.23529411764705882,212.33333333333334,0,2.132463622679378,390.4526999999998
71,shifted,no_replay,7972,0.6047601430509311,0.9792332268370607,0.4374665477252453,0.7077489054638055,0.4090008986522801,0.8890699391386245,0.9493033044123786,0.021968736797634135,0.5625334522747547,0.3101502082621382,2315,52,3153,2452,17,4,13,0.7706264323911384,1.0,0.23529411764705882,105.66666666666667,0,2.132463622679378,385.4912000000004
71,shifted,no_attribution,7972,0.8068122453244175,0.9735249621785174,0.6888492417484389,0.8222446462227619,0.588939680482177,0.9211244260680702,0.9621733253359073,0.044359949302915085,0.31115075825156113,0.1718754757894333,2262,105,1744,3861,12,2,10,0.904040404040404,1.0,0.16666666666666666,23.0,1,1.5052684395383844,156.26640000000043
71,shifted,Logistic regression,7972,0.4896652887051607,0.9693769799366421,0.3275646743978591,0.6515305416771721,0.325346975358218,0.5654659839218031,0.8115532830548697,0.024503591043515,0.6724353256021409,0.42797106030712306,2309,58,3769,1836,0,0,0,,,,,0,0.0,
71,shifted,Random forest,7972,0.18299595141700406,0.9912280701754386,0.1008028545941124,0.5493452380279391,0.17500490175240127,0.9360129825541276,0.9677290311096276,0.0021123785382340513,0.8991971454058876,0.4637850065104191,2362,5,5040,565,0,0,0,,,,,0,0.0,
11,stationary,static,2433,0.8125,0.6914893617021277,0.9848484848484849,0.9862983446633637,0.8198319624079147,0.9918257351717428,0.9408484870067779,0.0122517955217575,0.015151515151515152,0.01073952769310601,2338,29,1,65,0,0,0,,,,,0,0.0,16.985200000000006
11,stationary,ungoverned,2433,0.8489208633093526,0.8082191780821918,0.8939393939393939,0.9440123670161693,0.8456267787786368,0.9926450819986943,0.9292754567418615,0.005914659907055344,0.10606060606060606,0.007160772312712795,2353,14,7,59,13,13,0,,,,,0,5.343197698314837,256.26699999999994
11,stationary,monitor_only,2433,0.8489208633093526,0.8082191780821918,0.8939393939393939,0.9440123670161693,0.8456267787786368,0.9926450819986943,0.9292754567418615,0.005914659907055344,0.10606060606060606,0.007160772312712795,2353,14,7,59,13,13,0,0.9539627039627039,1.0,0.9230769230769231,,0,5.343197698314837,303.4801
11,stationary,governed,2433,0.8450704225352113,0.7894736842105263,0.9090909090909091,0.9511656488842801,0.8426564136783973,0.9923186234973307,0.9291689470974366,0.006759611322348965,0.09090909090909091,0.007514511616857606,2351,16,6,60,12,11,1,0.9337121212121212,1.0,0.9166666666666666,,0,4.932182490752158,419.75260000000014
11,stationary,no_replay,2433,0.8413793103448276,0.7721518987341772,0.9242424242424242,0.9583189307523908,0.840140872650264,0.9914992766703793,0.9411921619976178,0.0076045627376425855,0.07575757575757576,0.007707832005310197,2349,18,5,61,10,9,1,0.9621212121212122,1.0,0.9,,0,4.1101520756267975,233.54700000000003
11,stationary,no_attribution,2433,0.8125,0.6914893617021277,0.9848484848484849,0.9862983446633637,0.8198319624079147,0.9918257351717428,0.9408484870067779,0.0122517955217575,0.015151515151515152,0.01073952769310601,2338,29,1,65,0,0,0,,,,,0,0.0,10.20900000000006
11,stationary,Logistic regression,2433,0.6774193548387096,0.525,0.9545454545454546,0.9652321696047932,0.6980594173480613,0.9741777726568601,0.7586622505661581,0.024081115335868188,0.045454545454545456,0.03407289184883341,2310,57,3,63,0,0,0,,,,,0,0.0,
11,stationary,Random forest,2433,0.8888888888888888,0.8205128205128205,0.9696969696969697,0.9818911548949572,0.8888066395955826,0.9993086761147598,0.9816416301586058,0.005914659907055344,0.030303030303030304,0.004562923360448381,2353,14,2,64,0,0,0,,,,,0,0.0,
23,stationary,static,2433,0.7784431137724551,0.6435643564356436,0.9848484848484849,0.9848196796865998,0.7896895168138972,0.998335701757755,0.9582511526104249,0.015209125475285171,0.015151515151515152,0.012717540235725074,2331,36,1,65,0,0,0,,,,,0,0.0,8.767899999999827
23,stationary,ungoverned,2433,0.8104575163398693,0.7126436781609196,0.9393939393939394,0.9644160233513845,0.812614668709504,0.9972026987236113,0.9469129758412971,0.010561892691170258,0.06060606060606061,0.00860465900755502,2342,25,4,62,12,12,0,,,,,0,4.932182490752158,138.41589999999997
23,stationary,monitor_only,2433,0.8104575163398693,0.7126436781609196,0.9393939393939394,0.9644160233513845,0.812614668709504,0.9972026987236113,0.9469129758412971,0.010561892691170258,0.06060606060606061,0.00860465900755502,2342,25,4,62,12,12,0,0.9250541125541125,1.0,1.0,,0,4.932182490752158,198.11300000000028
23,stationary,governed,2433,0.8104575163398693,0.7126436781609196,0.9393939393939394,0.9644160233513845,0.812614668709504,0.9972026987236113,0.9469129758412971,0.010561892691170258,0.06060606060606061,0.00860465900755502,2342,25,4,62,12,12,0,0.9250541125541125,1.0,1.0,,0,4.932182490752158,192.85460000000012
23,stationary,no_replay,2433,0.8079470198675497,0.7176470588235294,0.9242424242424242,0.9570515036294504,0.8087377683536757,0.9981116616097605,0.9521742114107821,0.010139416983523447,0.07575757575757576,0.008302154371369516,2343,24,5,61,12,12,0,0.9393939393939394,1.0,1.0,,0,4.932182490752158,175.97670000000016
23,stationary,no_attribution,2433,0.7784431137724551,0.6435643564356436,0.9848484848484849,0.9848196796865998,0.7896895168138972,0.998335701757755,0.9582511526104249,0.015209125475285171,0.015151515151515152,0.012717540235725074,2331,36,1,65,0,0,0,,,,,0,0.0,9.024900000000343
23,stationary,Logistic regression,2433,0.644808743169399,0.5042735042735043,0.8939393939393939,0.9347179014479394,0.6601557472652544,0.9780504666436225,0.8126999953223959,0.024503591043515,0.10606060606060606,0.04058252314419242,2309,58,7,59,0,0,0,,,,,0,0.0,
23,stationary,Random forest,2433,0.935251798561151,0.8904109589041096,0.9848484848484849,0.9907343395936552,0.9346093254459562,0.9997631575578344,0.9919610009182342,0.0033798056611744824,0.015151515151515152,0.003826842550861944,2359,8,1,65,0,0,0,,,,,0,0.0,
37,stationary,static,2433,0.7721518987341772,0.6630434782608695,0.9242424242424242,0.9555728386526865,0.7760045993806738,0.992286617761903,0.9273654920155453,0.01309674693705112,0.07575757575757576,0.011276068905028486,2336,31,5,61,0,0,0,,,,,0,0.0,9.325200000000223
37,stationary,ungoverned,2433,0.8055555555555556,0.7435897435897436,0.8787878787878788,0.9351691823174713,0.8026319940972144,0.9907695459026257,0.9225365851427352,0.008449514152936205,0.12121212121212122,0.008917013527390856,2347,20,8,58,6,6,0,,,,,0,2.466091245376079,97.11309999999958
37,stationary,monitor_only,2433,0.8055555555555556,0.7435897435897436,0.8787878787878788,0.9351691823174713,0.8026319940972144,0.9907695459026257,0.9225365851427352,0.008449514152936205,0.12121212121212122,0.008917013527390856,2347,20,8,58,6,6,0,0.9318181818181818,1.0,0.5,,0,2.466091245376079,129.33910000000014
37,stationary,governed,2433,0.7843137254901961,0.6896551724137931,0.9090909090909091,0.9488420324922227,0.7853639865922609,0.991416061758267,0.9239008381510776,0.011406844106463879,0.09090909090909091,0.010245553915825845,2340,27,6,60,6,3,3,0.8699494949494948,1.0,0.5,,0,2.466091245376079,129.45890000000054
37,stationary,no_replay,2433,0.8111888111888111,0.7532467532467533,0.8787878787878788,0.9353804201712947,0.8080476673757085,0.9931507726184532,0.9177313833491404,0.008027038445289396,0.12121212121212122,0.008940921582496136,2348,19,8,58,7,6,1,0.9664502164502166,1.0,0.8571428571428571,,0,2.877106452938759,129.7525999999998
37,stationary,no_attribution,2433,0.7721518987341772,0.6630434782608695,0.9242424242424242,0.9555728386526865,0.7760045993806738,0.992286617761903,0.9273654920155453,0.01309674693705112,0.07575757575757576,0.011276068905028486,2336,31,5,61,0,0,0,,,,,0,0.0,9.161000000000058
37,stationary,Logistic regression,2433,0.6666666666666666,0.5370370370370371,0.8787878787878788,0.9288320467027691,0.6764955884842765,0.9643200061451012,0.7775609290052232,0.021123785382340516,0.12121212121212122,0.03709659297565504,2317,50,8,58,0,0,0,,,,,0,0.0,
37,stationary,Random forest,2433,0.9117647058823529,0.8857142857142857,0.9393939393939394,0.9680070668663825,0.9096464364664657,0.9985885470676346,0.9724734343901749,0.0033798056611744824,0.06060606060606061,0.0047891865332213325,2359,8,4,62,0,0,0,,,,,0,0.0,
53,stationary,static,2433,0.7407407407407407,0.625,0.9090909090909091,0.9469408918078119,0.7459096245168633,0.9964473633675155,0.9274419294571785,0.015209125475285171,0.09090909090909091,0.013140836099332502,2331,36,6,60,0,0,0,,,,,0,0.0,9.909299999999348
53,stationary,ungoverned,2433,0.7894736842105263,0.6976744186046512,0.9090909090909091,0.9490532703460459,0.7901202374461109,0.9961849163370076,0.9265062198028087,0.010984368398817067,0.09090909090909091,0.010271760177089558,2341,26,6,60,3,3,0,,,,,0,1.2330456226880395,85.55250000000069
53,stationary,monitor_only,2433,0.7894736842105263,0.6976744186046512,0.9090909090909091,0.9490532703460459,0.7901202374461109,0.9961849163370076,0.9265062198028087,0.010984368398817067,0.09090909090909091,0.010271760177089558,2341,26,6,60,3,3,0,0.9343434343434343,1.0,1.0,,0,1.2330456226880395,95.22530000000006
53,stationary,governed,2433,0.7894736842105263,0.6976744186046512,0.9090909090909091,0.9490532703460459,0.7901202374461109,0.9961849163370076,0.9265062198028087,0.010984368398817067,0.09090909090909091,0.010271760177089558,2341,26,6,60,3,3,0,0.9343434343434343,1.0,1.0,,0,1.2330456226880395,97.33640000000014
53,stationary,no_replay,2433,0.7837837837837838,0.7073170731707317,0.8787878787878788,0.9343242309021776,0.7819552699974748,0.9955127958930241,0.9230834346723638,0.010139416983523447,0.12121212121212122,0.009321053004161872,2343,24,8,58,4,4,0,0.9526515151515151,1.0,1.0,,0,1.6440608302507191,99.41070000000036
53,stationary,no_attribution,2433,0.7407407407407407,0.625,0.9090909090909091,0.9469408918078119,0.7459096245168633,0.9964473633675155,0.9274419294571785,0.015209125475285171,0.09090909090909091,0.013140836099332502,2331,36,6,60,0,0,0,,,,,0,0.0,9.559800000000905
53,stationary,Logistic regression,2433,0.6666666666666666,0.5263157894736842,0.9090909090909091,0.9431386104389907,0.6812992077930857,0.9516329326215258,0.7245753173160566,0.022813688212927757,0.09090909090909091,0.03186169706879848,2313,54,6,60,0,0,0,,,,,0,0.0,
53,stationary,Random forest,2433,0.9253731343283582,0.9117647058823529,0.9393939393939394,0.9684295425740292,0.9233691074236415,0.9993406818501875,0.98048093978047,0.0025348542458808617,0.06060606060606061,0.0037910128994995606,2361,6,4,62,0,0,0,,,,,0,0.0,
71,stationary,static,2433,0.7558139534883721,0.6132075471698113,0.9848484848484849,0.9837634904174828,0.7699864049217217,0.9982524868456427,0.9625416885828005,0.017321504013519222,0.015151515151515152,0.011489297847037729,2326,41,1,65,0,0,0,,,,,0,0.0,9.338999999999942
71,stationary,ungoverned,2433,0.7428571428571429,0.5963302752293578,0.9848484848484849,0.9831297768560125,0.7588109456731925,0.9983164983164983,0.9631095772367775,0.018588931136459652,0.015151515151515152,0.012705023290144543,2323,44,1,65,3,3,0,,,,,0,1.2330456226880395,81.07849999999962
71,stationary,monitor_only,2433,0.7428571428571429,0.5963302752293578,0.9848484848484849,0.9831297768560125,0.7588109456731925,0.9983164983164983,0.9631095772367775,0.018588931136459652,0.015151515151515152,0.012705023290144543,2323,44,1,65,3,3,0,0.9166666666666666,1.0,0.6666666666666666,,0,1.2330456226880395,98.15959999999905
71,stationary,governed,2433,0.7386363636363636,0.5909090909090909,0.9848484848484849,0.9829185390021892,0.7551861613403735,0.9984189166698673,0.9668265662387835,0.019011406844106463,0.015151515151515152,0.01338957832598089,2322,45,1,65,3,1,2,0.8409090909090908,1.0,0.3333333333333333,,0,1.2330456226880395,95.16949999999997
71,stationary,no_replay,2433,0.8181818181818182,0.7159090909090909,0.9545454545454546,0.9719917809271421,0.8213396122942407,0.9981436673451883,0.9602094408680872,0.010561892691170258,0.045454545454545456,0.00844154494414008,2342,25,3,63,11,7,4,0.9104683195592287,1.0,0.6363636363636364,,0,4.521167283189478,163.91990000000078
71,stationary,no_attribution,2433,0.7558139534883721,0.6132075471698113,0.9848484848484849,0.9837634904174828,0.7699864049217217,0.9982524868456427,0.9625416885828005,0.017321504013519222,0.015151515151515152,0.011489297847037729,2326,41,1,65,0,0,0,,,,,0,0.0,8.860700000001088
71,stationary,Logistic regression,2433,0.6373626373626373,0.5,0.8787878787878788,0.9271421438721819,0.6513006385817209,0.976091715635442,0.7890563944776583,0.024503591043515,0.12121212121212122,0.03658986906403118,2309,58,8,58,0,0,0,,,,,0,0.0,
71,stationary,Random forest,2433,0.8992248062015504,0.9206349206349206,0.8787878787878788,0.9383377501248223,0.896737886675909,0.9982236816837577,0.9655327031056801,0.0021123785382340513,0.12121212121212122,0.004515786510545015,2362,5,8,58,0,0,0,,,,,0,0.0,
